"1;""E1A"";""AN2"";""tut1rcicle"";""A02"";5;3;;"
"1;""E1A"";""PE1"";""tut1rcicle"";""A02"";5;3;;"
"2;""E1A"";""ES8"";""R4"";""A02"";2;2;;"
"2;""E1A"";""ES8"";""R4"";""A02"";3;5;;"
"2;""E1A"";""ES8"";""R4"";""A02"";4;8;;"
"2;""E1B"";""EC1"";""R4"";""A03"";2;2;;"
"2;""E1B"";""EC1"";""R4"";""A03"";3;5;;"
"2;""E1B"";""EC1"";""R4"";""A03"";4;8;;"
"2;""1AB"";""AN2"";""R4"";""AAN"";2;2;;"
"2;""1AB"";""AN2"";""R4"";""AAN"";3;5;;"
"2;""1AB"";""AN2"";""R4"";""AAN"";4;8;;"
"5;""E1A"";""TE13"";""TEC"";""A02"";4;4;;"
"5;""E1A"";""TE13"";""TECB"";""A02"";4;4;;"
"7;""E1A"";""TE13"";""TEC"";""ATE1"";2;5;;"
"7;;""D1A"";;;2;5;;"
"7;""E1A"";""CN6"";""EXP"";""LBI"";2;5;;"
"8;""E1A"";""TE13"";""TECB"";""ATE1"";1;1;;"
"8;;""D1A"";;;1;1;;"
"8;""E1A"";""CN6"";""EXPB"";""LBI"";1;1;;"
"258;""E1A"";""TE13"";""TIC"";""AINM"";3;4;;"
"258;""E1A"";""AN2"";""TIC"";""AING"";3;4;;"
"257;""E1A"";""AN2"";""ALT"";""A02"";1;5;;"
"411;""E1C"";""CA6"";""tut1rcicle"";""A04"";2;5;;"
"411;""E1C"";""MU6"";""tut1rcicle"";""A04"";2;5;;"
"9;""E1A"";""CA12"";""R1"";""A02"";2;4;;"
"9;""E1A"";""CA12"";""R1"";""A02"";4;3;;"
"9;""E1A"";""CA12"";""R1"";""A02"";5;2;;"
"9;""E1B"";""ES8"";""R1"";""A03"";2;4;;"
"9;""E1B"";""ES8"";""R1"";""A03"";4;3;;"
"9;""E1B"";""ES8"";""R1"";""A03"";5;2;;"
"9;""1AB"";""EC1"";""R1"";""A04"";2;4;;"
"9;""1AB"";""EC1"";""R1"";""A15"";4;3;;"
"9;""1AB"";""EC1"";""R1"";""A15"";5;2;;"
"9;""1AB"";""PE1"";""R1"";""SFI"";2;4;;"
"9;""1AB"";""PE1"";""R1"";""SFI"";4;3;;"
"9;""1AB"";""PE1"";""R1"";""SFI"";5;2;;"
"10;""E1A"";""HI5"";""R2"";""A02"";1;3;;"
"10;""E1A"";""HI5"";""R2"";""A02"";3;2;;"
"10;""E1A"";""HI5"";""R2"";""A02"";5;4;;"
"10;""E1B"";""CA12"";""R2"";""A03"";1;3;;"
"10;""E1B"";""CA12"";""R2"";""A03"";3;2;;"
"10;""E1B"";""CA12"";""R2"";""A03"";5;4;;"
"10;""1AB"";""ES8"";""R2"";""A01"";1;3;;"
"10;""1AB"";""ES8"";""R2"";""A01"";3;2;;"
"10;""1AB"";""ES8"";""R2"";""A24"";5;4;;"
"10;""1AB"";""PE1"";""R2"";""SFI"";1;3;;"
"10;""1AB"";""PE1"";""R2"";""SFI"";3;2;;"
"10;""1AB"";""PE1"";""R2"";""SFI"";5;4;;"
"13;""E1A"";""CN6"";""EXPB"";""A02"";3;3;;"
"13;""E1A"";""CN6"";""EXPB"";""A02"";4;7;;"
"13;""E1A"";""CN6"";""EXP"";""A02"";3;3;;"
"13;""E1A"";""CN6"";""EXP"";""A02"";4;7;;"
"18;""E1B"";""TE13"";""TEC"";""A03"";4;7;;"
"18;""E1B"";""TE13"";""TECB"";""A03"";4;7;;"
"20;""E1B"";""TE13"";""TEC"";""ATE1"";2;3;;"
"20;;""D1B"";;;2;3;;"
"20;""E1B"";""CN6"";""EXP"";""LBI"";2;3;;"
"21;""E1B"";""TE13"";""TECB"";""ATE1"";5;1;;"
"21;;""D1B"";;;5;1;;"
"21;""E1B"";""CN6"";""EXPB"";""LBI"";5;1;;"
"295;""E1D"";""TE13"";""TEC"";""A06"";5;5;;"
"295;""E1D"";""TE13"";""TECB"";;5;5;;"
"297;""E1D"";""TE13"";""TEC"";""ATE1"";2;1;;"
"297;;""D1D"";;;2;1;;"
"297;""E1D"";""CN7"";""EXP"";""LBI"";2;1;;"
"298;""E1D"";""TE13"";""TECB"";""ATE1"";4;1;;"
"298;;""D1D"";;;4;1;;"
"298;""E1D"";""CN7"";""EXPB"";""LBI"";4;1;;"
"26;""E1C"";""TE13"";""TEC"";""A04"";1;4;;"
"26;""E1C"";""TE13"";""TECB"";""A04"";1;4;;"
"266;""E1C"";""CA6"";""ALT"";""A04"";4;8;;"
"265;""E1B"";""TE13"";""TIC"";""AINM"";1;5;;"
"265;""E1B"";""TE1"";""TIC"";""AING"";1;5;;"
"28;""E1C"";""TE13"";""TEC"";""ATE1"";3;3;;"
"28;;""D1C"";;;3;3;;"
"28;""E1C"";""CN7"";""EXP"";""LBI"";3;3;;"
"29;""E1C"";""TE13"";""TECB"";""ATE1"";3;1;;"
"29;;""D1C"";;;3;1;;"
"29;""E1C"";""CN7"";""EXPB"";""LBI"";3;1;;"
"235;""E2A"";""FQ6"";""EXPB"";""LFI"";3;1;;"
"235;;""D2A"";;""AING"";3;1;;"
"235;""E2A"";""TE9"";""TECB"";""ATE2"";3;1;;"
"234;""E2A"";""FQ6"";""EXP"";""LFI"";3;2;;"
"234;;""D2A"";;""AINM"";3;2;;"
"234;""E2A"";""TE9"";""TEC"";""ATE1"";3;2;;"
"30;""E2A"";""AN3"";""tut1rcicle"";""A17"";4;5;;"
"30;""E2A"";""PE1"";""tut1rcicle"";""A17"";4;5;;"
